epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,121.316,3.85592,0.55424,0.80559,2.02478,0.00998273,0.00332758,0.00998273,0.00332758,0.00998273,0.00332758,0.00998273,0.00332758
2,238.261,1.63669,0.71695,0.9125,1.09126,0.0197849,0.00659497,0.0197849,0.00659497,0.0197849,0.00659497,0.0197849,0.00659497
3,356.929,1.37144,0.54087,0.80726,1.81408,0.0293891,0.00979636,0.0293891,0.00979636,0.0293891,0.00979636,0.0293891,0.00979636
4,474.433,2.06907,0.25679,0.52733,3.30932,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,592.53,2.36811,0.31998,0.59818,2.88779,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,710.334,2.41532,0.37357,0.66083,2.60571,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,827.792,2.4033,0.44997,0.72461,2.22704,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,945.139,2.40263,0.52049,0.78359,1.90818,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1062.61,2.39184,0.52518,0.79534,1.86099,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1180.08,2.36927,0.56065,0.81658,1.72727,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1297.59,2.35565,0.57839,0.83039,1.64228,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1415.27,2.35183,0.58944,0.83438,1.59383,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1533.38,2.33442,0.60039,0.84128,1.55544,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1650.67,2.32672,0.61683,0.85443,1.48246,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1768.11,2.29649,0.62999,0.85891,1.43749,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1885.48,2.30201,0.63462,0.86381,1.41813,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2002.69,2.27679,0.64444,0.8685,1.3842,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
